"Mage_Catalog::Regular Price", "Обычная цена"
"Mage_Catalog::Special Price:", "Ваша цена:"
"Mage_Catalog::Special Price", "Ваша цена"
"Buy", "Купить"
"Choose qty", "Выберите колличество"
"Address to deliver:", "Адресс доставки Ваших заказов:"
"Email", "E-mail"
"Email Address", "E-mail:"
"Mage_Customer::Email Address", "E-mail:"
"Mage_Contacts::Email Address", "E-mail"
"Mage_Contacts::Email", "E-mail"
"Mage_Customer::Confirm New Password", "Повторите пароль"
"Please type the letters below", "Введите символы из проверочного кода:"
"Product number:", "Кода товара:"
"Click on the picture to zoom", "Нажмите на изображение, чтобы увеличить"
